Ticker,Description,Exchange,Market Capitalization,Sector
AEIS,"Advanced Energy Industries, Inc.",NASDAQ,3995215579.349904,Electronic Technology
AEL,American Equity Investment Life Holding Company,NYSE,2921060450.055782,Finance
AEM,Agnico Eagle Mines Limited,NYSE,15255602252.50256,Non-Energy Minerals
AEMD,"Aethlon Medical, Inc.",NASDAQ,73759015.84701492,Health Technology
AEO,"American Eagle Outfitters, Inc.",NYSE,5553102896.509677,Retail Trade
AEP,"American Electric Power Company, Inc.",NASDAQ,41154444873.04479,Utilities
AER,AerCap Holdings N.V.,NYSE,6973374952.971522,Finance
AERI,"Aerie Pharmaceuticals, Inc.",NASDAQ,774208135.502776,Health Technology
AES,The AES Corporation,NYSE,16749708934.731874,Utilities
AESE,"Allied Esports Entertainment, Inc.",NASDAQ,83758539.7716895,Commercial Services
AEVA,"Aeva Technologies, Inc.",NYSE,2433326224.0795975,Electronic Technology
AEY,"ADDvantage Technologies Group, Inc.",NASDAQ,30909297.17073171,Distribution Services
AEYE,"AudioEye, Inc.",NASDAQ,185801654.46689898,Technology Services
AFCG,"AFC Gamma, Inc.",NASDAQ,294605964.78774613,Finance
AFG,"American Financial Group, Inc.",NYSE,10296205198.20512,Finance
AFI,"Armstrong Flooring, Inc.",NYSE,121007111.37745973,Producer Manufacturing
AFIB,"Acutus Medical, Inc.",NASDAQ,479233907.1212485,Health Technology
AFL,AFLAC Incorporated,NYSE,35397069061.92593,Finance
AFMD,Affimed N.V.,NASDAQ,956382806.2928039,Health Technology
AFRM,"Affirm Holdings, Inc.",NASDAQ,18074060318.53697,Technology Services
AFYA,Afya Limited,NASDAQ,2476398977.75812,Consumer Services
AG,First Majestic Silver Corp.,NYSE,4065068766.3672256,Non-Energy Minerals
AGAC,African Gold Acquisition Corporation,NYSE,500422493.01444787,Finance
AGC,Altimeter Growth Corp.,NASDAQ,735000000,Finance
AGCB,Altimeter Growth Corp. 2,NYSE,583822967.4476744,Finance
AGCO,AGCO Corporation,NYSE,9219252470.569199,Producer Manufacturing
AGEN,Agenus Inc.,NASDAQ,1170039747.9962406,Health Technology
AGFS,"AgroFresh Solutions, Inc.",NASDAQ,109634341.00000001,Process Industries
AGFY,Agrify Corporation,NASDAQ,200921839.80638915,Producer Manufacturing
AGI,Alamos Gold Inc.,NYSE,3059439402.4869213,Non-Energy Minerals
AGIO,"Agios Pharmaceuticals, Inc.",NASDAQ,3722780955.645523,Health Technology
AGLE,"Aeglea BioTherapeutics, Inc.",NASDAQ,315716696.14701384,Health Technology
AGO,Assured Guaranty Ltd.,NYSE,3398491385.495273,Finance
AGR,"Avangrid, Inc.",NYSE,19839662806.78581,Utilities
AGRO,Adecoagro S.A.,NYSE,1281803970.6494942,Process Industries
AGS,"PlayAGS, Inc.",NYSE,361365575.7953861,Producer Manufacturing
AGTC,Applied Genetic Technologies Corporation,NASDAQ,189831277.6909091,Health Technology
AGX,"Argan, Inc.",NYSE,724763485.5600253,Industrial Services
AGYS,"Agilysys, Inc.",NASDAQ,1299627055.9124517,Technology Services
AHAC,Alpha Healthcare Acquisition Corp.,NASDAQ,130735349.00098233,Finance
AHCO,AdaptHealth Corp.,NASDAQ,3577489542.0833926,Finance
AHPI,"Allied Healthcare Products, Inc.",NASDAQ,16335095.702770783,Health Technology
AI,"C3.ai, Inc.",NYSE,5766006444.9916525,Technology Services
AIG,"American International Group, Inc. New",NYSE,40203888658.53804,Finance
AIM,AIM ImmunoTech Inc.,NYSE ARCA,100927626.11059907,Health Technology
AIMC,Altra Industrial Motion Corp.,NASDAQ,3883546579.9964976,Producer Manufacturing
AIN,Albany International Corporation,NYSE,2851473029.601184,Process Industries
AIR,AAR Corp.,NYSE,1399711272.3828685,Electronic Technology
AIRG,"Airgain, Inc.",NASDAQ,221798713.09078148,Electronic Technology
AIT,"Applied Industrial Technologies, Inc.",NYSE,3299550639.805226,Distribution Services
AIZ,"Assurant, Inc.",NYSE,9137688027.275354,Finance
AJAX,Ajax I,NYSE,893539875.3096192,Finance
AJG,Arthur J. Gallagher & Co.,NYSE,28184251479.717934,Finance
AJRD,"Aerojet Rocketdyne Holdings, Inc.",NYSE,3894561751.617888,Electronic Technology
AKAM,"Akamai Technologies, Inc.",NASDAQ,18683736537.146942,Technology Services
AKBA,"Akebia Therapeutics, Inc.",NASDAQ,589223793.6130791,Health Technology
AKRO,"Akero Therapeutics, Inc.",NASDAQ,1043040985.9714853,Health Technology
AKTS,"Akoustis Technologies, Inc.",NASDAQ,525402869.86610484,Electronic Technology
AKU,Akumin Inc.,NASDAQ,207768000.59668508,Health Services
AKUS,"Akouos, Inc.",NASDAQ,451285851.91634977,Health Technology
