Ticker,Description,Exchange,Market Capitalization,Sector
NVDA,NVIDIA Corporation,NASDAQ,464477636324.5736,Electronic Technology
PLTR,Palantir Technologies Inc.,NYSE,47613054351.72732,Technology Services
SNOW,Snowflake Inc.,NYSE,73786195873.7081,Technology Services
TSLA,"Tesla, Inc.",NASDAQ,600453475484.5593,Consumer Durables
TWTR,"Twitter, Inc.",NYSE,48566005795.027176,Technology Services
